Stranding ID,Period,Season,Condition,INOFF,LatDD,LongDD,SCL (cm),SizeClass,Number of Trash Items,Mass of Trash Items
20191205MAD01,2019,Winter,Moderate Decomposition,Offshore,26.066037,-97.146275,32.6,Recruit,1,0.001
20191124NAN15,2019,Fall,Moderate Decomposition,Offshore,26.047962,-97.153757,33,Recruit,0,0
20190430RAC01,2019,Spring,Moderate Decomposition,Offshore,27.60882,-97.20536,33.2,Recruit,2,0.001
20191215RLL01,2019,Winter,Moderate Decomposition,Offshore,26.1352,-97.168,33.7,Recruit,2,0.04
20191210MAD03,2019,Winter,Moderate Decomposition,Offshore,26.029712,-97.152568,33.7,Recruit,0,0
20191121KEL06,2019,Fall,Moderate Decomposition,Offshore,26.003648,-97.150998,34,Recruit,0,0
20190220MAD02,2019,Winter,Moderate Decomposition,Offshore,26.21406,-97.178995,34.5,Recruit,0,0
20191124NAN02,2019,Fall,Moderate Decomposition,Offshore,26.977832,-97.149235,35.2,Transitional,0,0
20190501RHG01,2019,Spring,Moderate Decomposition,Offshore,27.83479,-97.04523,36.1,Transitional,103,0.31
20190126SSP01,2019,Winter,Moderate Decomposition,Offshore,27.81119,-97.068403,36.1,Transitional,0,0
20191210MAD02,2019,Winter,Moderate Decomposition,Offshore,26.029712,-97.152568,36.5,Transitional,0,0
20190424RHG01,2019,Spring,Moderate Decomposition,Offshore,27.83821,-97.05123,39.7,Transitional,10,0.05
20190726BNN01,2019,Summer,Moderate Decomposition,Offshore,27.5632,-97.2295,40.4,Transitional,1,0.001
20190302AMG03,2019,Spring,Moderate Decomposition,Offshore,27.284,-97.3459,41.3,Transitional,1,0.001
20191121KEL07,2019,Fall,Moderate Decomposition,Offshore,25.971014,-97.148148,43.1,Transitional,0,0
20190111MAP01,2019,Winter,Moderate Decomposition,Offshore,27.647741,-97.184185,43.8,Transitional,0,0
20191106RLL04,2019,Fall,Moderate Decomposition,Offshore,25.9634,-97.14753,46.1,Subadult,0,0
20190206MAD01,2019,Winter,Moderate Decomposition,Offshore,26.168326,-97.172593,49.6,Subadult,0,0
20191104MAD01,2019,Fall,Moderate Decomposition,Offshore,26.066267,-97.14532,51.7,Subadult,0,0
20190101MAD01,2019,Winter,Moderate Decomposition,Offshore,26.083025,-97.158662,61.4,Subadult,1,0.001
20190912CPB02,2019,Fall,Moderate Decomposition,Offshore,26.92122,-97.37234,106.5,Subadult,21,0.64
19930629AFA01,1987-1999,Summer,Fresh Dead,Unknown,NA,NA,20.1,Pelagic,21,0.6
